k,score,accuracy
12,0.741994116427717,0.83
13,0.7624246381235471,0.874
14,0.789220097244636,0.939
15,0.8247619890588959,1.0
16,0.7833989017928739,0.999
17,0.7263334515381594,0.998
18,0.6872512336748717,0.997
19,0.6504266724951712,0.996
20,0.6051928815278533,0.995
