k,score,accuracy
7,0.6507505216928928,0.699
8,0.7310182359002643,0.805
9,0.7880718600952513,0.905
10,0.834160733403198,1.0
11,0.7686979494785209,0.999
12,0.6990066185209098,0.998
13,0.6261539772376792,0.997
14,0.6175424410346765,0.995
15,0.5549651412463581,0.994
