k,score,accuracy
2,0.6809034741049294,0.4
3,0.6520713193904669,0.609
4,0.7786122904927355,0.813
5,0.7848394064887684,1.0
6,0.7042543181297233,0.902
7,0.7032228324773292,0.894
8,0.579849014586877,0.868
9,0.5206514772017862,0.832
10,0.5392748282785813,0.778
