k,score,accuracy
17,0.7560685218540445,0.859
18,0.789643054758745,0.906
19,0.817619929791121,0.954
20,0.847661685145814,1.0
21,0.8117868041361231,0.999
22,0.777984251784441,0.998
23,0.7421080264279498,0.997
24,0.7112888630880425,0.996
25,0.6775723111210026,0.995
