k,score,accuracy
2,0.574502682129706,0.416
3,0.5862607395227359,0.609
4,0.7786122904927348,0.813
5,0.7848394064887678,1.0
6,0.6884395261818317,0.896
7,0.7195506679127703,0.876
8,0.6208159764637459,0.784
9,0.6700806247033285,0.759
10,0.5263885525065174,0.667
