k,score,accuracy
17,0.5446459423845691,0.716
18,0.6799672357012221,0.843
19,0.6200152298751435,0.83
20,0.5120777892515382,0.705
21,0.5440743917796369,0.755
22,0.5882400288319423,0.845
23,0.4615146970863231,0.693
24,0.7004933114268677,0.961
25,0.5428411381201348,0.804
