k,score,accuracy
7,0.4746630570081943,0.576
8,0.712115964916612,0.797
9,0.5898076571470955,0.777
10,0.6664233592124732,0.877
11,0.6153639097955177,0.81
12,0.5664368633984489,0.765
13,0.6324840041033815,0.874
14,0.6405059075996257,0.853
15,0.565243338599903,0.801
