k,score,accuracy
12,0.6378659971550696,0.74
13,0.5240616549948661,0.724
14,0.5454975109226163,0.806
15,0.541212859642091,0.768
16,0.5847939967930497,0.811
17,0.5355439648299916,0.785
18,0.5957200056355729,0.862
19,0.6635873676240082,0.887
20,0.5190793136439179,0.803
